CVE,UPSTREAM G:A:V,DOWNSTREAM G:A:V,DOWNSTREAM REPO,COMMIT
CVE-2021-39154,com.thoughtworks.xstream:xstream,com.github.psi-probe:psi-probe-core,psi-probe/psi-probe,https://github.com/psi-probe/psi-probe/commit/cf3dd7317060ef7cb67f57686b0d760bdfa659d5
CVE-2021-39154,com.thoughtworks.xstream:xstream,com.github.spotbugs:sonar-findbugs-plugin,spotbugs/sonar-findbugs,https://github.com/spotbugs/sonar-findbugs/commit/d4b81e4456be033422c6b1502ef6f8bd5fa1a8c5
CVE-2021-39154,com.thoughtworks.xstream:xstream,ro.pippo:pippo-xstream,pippo-java/pippo,https://github.com/pippo-java/pippo/commit/8330892700e3911192f1e17a11100ec3ec58ef84
CVE-2021-39154,com.thoughtworks.xstream:xstream,com.xceptance:xlt,Xceptance/XLT,https://github.com/Xceptance/XLT/commit/1b675b0b83f1e66c98d765f92bf2bae4de5a9369
CVE-2021-39154,com.thoughtworks.xstream:xstream,org.smooks:smooks-core,smooks/smooks,https://github.com/smooks/smooks/commit/b1412cfcf80e8bf7ddcc1ec709c256387879e6b6
CVE-2021-39154,com.thoughtworks.xstream:xstream,com.swiftmq:swiftmq-client,iitsoftware/swiftmq-client,https://github.com/iitsoftware/swiftmq-client/commit/9506bd2e6e1163342b52f8c5c99fb9b13c8d90fc
CVE-2021-39154,com.thoughtworks.xstream:xstream,org.infinispan:infinispan-server-core,infinispan/infinispan,https://github.com/infinispan/infinispan/commit/d617eec6dfe533cea066961a5afb2340131556d3
CVE-2021-39154,com.thoughtworks.xstream:xstream,net.ripe.rpki:rpki-commons,RIPE-NCC/rpki-commons,https://github.com/RIPE-NCC/rpki-commons/commit/cb41248bb0e21780857596da401b9a891c6ee1b7
CVE-2020-26217,com.thoughtworks.xstream:xstream,net.renfei:sdk,renfei/renfei-java-sdk,https://github.com/renfei/renfei-java-sdk/commit/8b2e42fdbc189bc03972a3e9f400e2e79710dfb7
CVE-2020-26217,com.thoughtworks.xstream:xstream,org.wicketstuff:wicketstuff-dashboard-core,wicketstuff/core,https://github.com/wicketstuff/core/commit/fb9c32cf6eabdf167b88fcdcd752e1a870c78eef
CVE-2020-26217,com.thoughtworks.xstream:xstream,io.quarkus:quarkus-junit5,quarkusio/quarkus,https://github.com/quarkusio/quarkus/commit/5bb4904263ce07256e52403b681245e3fe36523e
CVE-2020-26217,com.thoughtworks.xstream:xstream,org.javalite:javalite-async,javalite/activejdbc,https://github.com/javalite/activejdbc/commit/9d6517b4d1ba17fb6571c4abd369795fca7287ce
CVE-2020-26217,com.thoughtworks.xstream:xstream,com.github.spotbugs:sonar-findbugs-plugin,spotbugs/sonar-findbugs,https://github.com/spotbugs/sonar-findbugs/commit/a2f2978d02222f1d01d77bc537e2c503f61103c6
CVE-2020-26217,com.thoughtworks.xstream:xstream,de.digitalcollections.model:dc-model-xml,dbmdz/digitalcollections-model,https://github.com/dbmdz/digitalcollections-model/commit/57eb5bcbd60a983f1b80aa09589a51c9ae69cead
CVE-2021-37714,org.jsoup:jsoup,com.github.btheu.estivate:estivate,btheu/estivate,https://github.com/btheu/estivate/commit/22adfa9009bf25c55b5249a247e9057dc0233505
CVE-2021-37714,org.jsoup:jsoup,com.jcabi:jcabi-http,jcabi/jcabi-http,https://github.com/jcabi/jcabi-http/commit/1a244d71abdfb74301de50affd188e52768d04c5
CVE-2021-37714,org.jsoup:jsoup,in.ashwanthkumar:gocd-java-client,ashwanthkumar/gocd-java-client,https://github.com/ashwanthkumar/gocd-java-client/commit/560d244d163210e7fc2bf80a6845376254c35b1d
CVE-2021-37714,org.jsoup:jsoup,tech.grasshopper:pdfextentreporter,grasshopper7/pdfextentreporter,https://github.com/grasshopper7/pdfextentreporter/commit/bae2baa9c0254191809429b4dcb1c3fbdaaffc58
CVE-2021-37714,org.jsoup:jsoup,de.trustable.ca3s.core:ca-3-s,kuehne-trustable-de/ca3sCore,https://github.com/kuehne-trustable-de/ca3sCore/commit/3e1623e622e1fe522b06247ca01105e7987c3ca9
CVE-2021-37714,org.jsoup:jsoup,org.owasp:dependency-check-core,jeremylong/DependencyCheck,https://github.com/jeremylong/DependencyCheck/commit/b7dd86d403c6238933ad7f75a3d12848e08c2d3f
CVE-2021-37714,org.jsoup:jsoup,org.appng:appng-formtags,appNG/appng,https://github.com/appNG/appng/commit/4492c722675743f59decc2c323444a34002edb88
CVE-2021-37714,org.jsoup:jsoup,io.sfrei:tracksearch,s-frei/TrackSearch,https://github.com/s-frei/TrackSearch/commit/27996d96e31c55c5cb554e21947636cf294530ea
CVE-2021-37714,org.jsoup:jsoup,org.nasdanika.core:common,Nasdanika/core,https://github.com/Nasdanika/core/commit/386f292d5cf08bc950a3287b5213f3edf0ccfe83
CVE-2021-37714,org.jsoup:jsoup,com.couchbase.client:kafka-connect-couchbase,couchbase/kafka-connect-couchbase,https://github.com/couchbase/kafka-connect-couchbase/commit/5f6a89bdda00a9df5b6f31bd0bb6f4993e2d1910
CVE-2021-37714,org.jsoup:jsoup,com.github.nbbrd.spreadsheet4j:spreadsheet-html,nbbrd/spreadsheet4j,https://github.com/nbbrd/spreadsheet4j/commit/86f8aeab3ca33f6c0aa2e40ae7ab7fa906bdc9a4
CVE-2021-37714,org.jsoup:jsoup,com.github.liaochong:myexcel,liaochong/myexcel,https://github.com/liaochong/myexcel/commit/4a061a82fbcc3061583719965f2ca99bcf992836
CVE-2021-37714,org.jsoup:jsoup,cn.hiboot.mcn:mcn-boot-autoconfigure,kse-music/mcn-boot-project,https://github.com/kse-music/mcn-boot-project/commit/78bdbcaf75f4f57ae4a0a3cdc4b6e2a5f36ace3c
CVE-2021-37714,org.jsoup:jsoup,tech.grasshopper:cucumber-pdf-report,grasshopper7/cucumber-pdf-report,https://github.com/grasshopper7/cucumber-pdf-report/commit/bff020be3732771993ba2fc52bcddf3ce45c5c38
CVE-2021-37714,org.jsoup:jsoup,org.apache.nlpcraft:nlpcraft,apache/incubator-nlpcraft,https://github.com/apache/incubator-nlpcraft/commit/447e24fcc61052d740f6fc59a5c3b390925d6c7b
CVE-2021-37714,org.jsoup:jsoup,com.github.nicho92:mkm-api-java,nicho92/mkm-api-java,https://github.com/nicho92/mkm-api-java/commit/bf615e8a4177acd08062752f4918b763c3c21403
CVE-2021-37714,org.jsoup:jsoup,wiki.thin:thin-wiki,thin-wiki/thin-wiki,https://github.com/thin-wiki/thin-wiki/commit/17b5f29fab9d9e81c590b815f711557a16517197
CVE-2021-37714,org.jsoup:jsoup,net.revelc.code.formatter:formatter-maven-plugin,revelc/formatter-maven-plugin,https://github.com/revelc/formatter-maven-plugin/commit/9111be924c5b430c56ce43e83072b642a9eb5476
CVE-2021-37714,org.jsoup:jsoup,io.github.georgberky.maven.plugins.depsupdate:dependency-update-maven-plugin,georgberky/dependency-update-maven-plugin,https://github.com/georgberky/dependency-update-maven-plugin/commit/a4f70285c50f7743054124ab62cf33a7c587947c
CVE-2021-37714,org.jsoup:jsoup,com.digitalpebble.stormcrawler:storm-crawler-core,DigitalPebble/storm-crawler,https://github.com/DigitalPebble/storm-crawler/commit/ff796baf9e838e9a8a9e8780c6b53e2bf24707f0
CVE-2021-37714,org.jsoup:jsoup,io.github.cheny2151:toolbox,cheny2151/toolbox,https://github.com/cheny2151/toolbox/commit/bca090bbeb46af0e63bfcb2ab2d7e9db9ec2ab88
CVE-2021-37714,org.jsoup:jsoup,io.github.lijiahangmax:orion-http,lijiahangmax/orion-kit,https://github.com/lijiahangmax/orion-kit/commit/e72bc3c24f1865dae397bb16555078b4b1c17e4b
CVE-2021-37714,org.jsoup:jsoup,ru.sokomishalov.skraper:skrapers,sokomishalov/skraper,https://github.com/sokomishalov/skraper/commit/baa21253b473308070e8d13f54befcbbd5264915
CVE-2021-37714,org.jsoup:jsoup,com.github.loki-afro:metalarchives-api,Loki-Afro/metalarchives,https://github.com/Loki-Afro/metalarchives/commit/e315ce41acf01cade746b9e8fca92b7b36c6e537
CVE-2021-37714,org.jsoup:jsoup,org.spdx:licenseListPublisher,spdx/LicenseListPublisher,https://github.com/spdx/LicenseListPublisher/commit/70e4211de75bb4c303fa62df0e2102a547082d85
CVE-2021-37714,org.jsoup:jsoup,io.archivesunleashed:aut,archivesunleashed/aut,https://github.com/archivesunleashed/aut/commit/fa76ad4bf11105778b53ccb5af9cb6124e00f060
CVE-2021-37714,org.jsoup:jsoup,us.codecraft:xsoup,code4craft/xsoup,https://github.com/code4craft/xsoup/commit/4a703eac3bd0750f28ca13fee5251c0a7bd65359
CVE-2021-37714,org.jsoup:jsoup,org.zoxweb:zoxweb-core,fidusio/zoxweb-core,https://github.com/fidusio/zoxweb-core/commit/2a766c0cd341a269399968c96c2c42060d25c023
CVE-2021-37714,org.jsoup:jsoup,net.serenity-bdd:serenity-model,serenity-bdd/serenity-core,https://github.com/serenity-bdd/serenity-core/commit/5bcbef34d89918f27725f7ebf5f5527a15cff2fe
CVE-2021-37714,org.jsoup:jsoup,de.sonallux.spotify:spotify-web-api-parser,sonallux/spotify-web-api,https://github.com/sonallux/spotify-web-api/commit/f0e30380f09d9f58d10407b2d9a8e770c6ab74d2
CVE-2021-37714,org.jsoup:jsoup,io.annot8:annot8-components-documents,annot8/annot8-components,https://github.com/annot8/annot8-components/commit/73be2770e29c81add40e8896ba25040e386843e6
CVE-2021-37714,org.jsoup:jsoup,com.erudika:para-core,Erudika/para,https://github.com/Erudika/para/commit/c84f74daca2cfd28d69c020c83c86cd3916d245a
CVE-2021-37714,org.jsoup:jsoup,com.geccocrawler:gecco,xtuhcy/gecco,https://github.com/xtuhcy/gecco/commit/7b7770587f299b99ee5b416d20b2372750d70ca8
CVE-2021-37714,org.jsoup:jsoup,com.github.huanying04.utils:jixiv,Huanying04/jixiv,https://github.com/Huanying04/jixiv/commit/6ef325a5494076ee7b294fe219968ff7567ebe9b
CVE-2021-37714,org.jsoup:jsoup,org.apache.any23:apache-any23-core,apache/any23,https://github.com/apache/any23/commit/05b8526174416a1c3ae07f1a02229ca0e65a57f7
CVE-2021-37714,org.jsoup:jsoup,net.sf.mpxj:mpxj,joniles/mpxj,https://github.com/joniles/mpxj/commit/80d46cdad39827c84cbd4f5366dd2107d80d3593
CVE-2021-37714,org.jsoup:jsoup,com.googlecode.ez-vcard:ez-vcard,mangstadt/ez-vcard,https://github.com/mangstadt/ez-vcard/commit/3c10bf587f097be3e2a77b0d2d556e6f9efd97b1
CVE-2021-37714,org.jsoup:jsoup,io.yupiik.maven:minisite-core,yupiik/tools-maven-plugin,https://github.com/yupiik/tools-maven-plugin/commit/4f7cc14d076fc74df9e0ffe2b6fedab5585df1b2
CVE-2021-37714,org.jsoup:jsoup,org.javalite:activeweb,javalite/activejdbc,https://github.com/javalite/activejdbc/commit/1ad72781e8df3112371b7ee1accf0f32e2659634
CVE-2021-37714,org.jsoup:jsoup,com.github.codemonstur:htmlcompiler,codemonstur/HTMLCompiler,https://github.com/codemonstur/HTMLCompiler/commit/10701d9cc39ad5d00ec397cf132ea90a54f3e476
CVE-2019-3888,io.undertow:undertow-core,com.networknt:rpc-security,networknt/light-hybrid-4j,https://github.com/networknt/light-hybrid-4j/commit/61784addbba17ccc80e087ec5f2ff7084093852c
CVE-2019-3888,io.undertow:undertow-core,com.networknt:metrics,networknt/light-4j,https://github.com/networknt/light-4j/commit/95a988d0dca3650e05505842f275bae3aade0e10
CVE-2019-3888,io.undertow:undertow-core,com.networknt:jdbc-manager,networknt/light-session-4j,https://github.com/networknt/light-session-4j/commit/20c2223eec888527a6c9e09b68c6c6cdd57499c4
CVE-2019-3888,io.undertow:undertow-core,org.actframework:act,actframework/actframework,https://github.com/actframework/actframework/commit/1ce7b7d0a23ef619ad23ac067f446d1822b355e1
CVE-2019-3888,io.undertow:undertow-core,org.restheart:restheart,SoftInstigate/restheart,https://github.com/SoftInstigate/restheart/commit/1494524379d64749874c7a8b5701efc486dc1b46
CVE-2019-3888,io.undertow:undertow-core,io.mangoo:mangooio-core,svenkubiak/mangooio,https://github.com/svenkubiak/mangooio/commit/712dd4242fa5b619922331470b32e25c8606e771
CVE-2019-3888,io.undertow:undertow-core,com.networknt:graphql-common,networknt/light-graphql-4j,https://github.com/networknt/light-graphql-4j/commit/7439727ec8a0545d674bdd884699d5b046a2483a
CVE-2019-3888,io.undertow:undertow-core,com.networknt:swagger-security,networknt/light-rest-4j,https://github.com/networknt/light-rest-4j/commit/7d53678b7323d622f202a3b4155b8d542c277b11
CVE-2019-3888,io.undertow:undertow-core,de.ruedigermoeller:kontraktor-http,RuedigerMoeller/kontraktor,https://github.com/RuedigerMoeller/kontraktor/commit/967b29319ccff78f2a5a6452eb3da463a0f6dd33
CVE-2019-3888,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/62be256827b5e22f7c66b1faf8f8193284614720
CVE-2019-3888,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/c6464e31c63a57cab041a300a1a80af8afea5e0a
CVE-2019-3888,io.undertow:undertow-core,com.networknt:rpc-security,networknt/light-hybrid-4j,https://github.com/networknt/light-hybrid-4j/commit/61784addbba17ccc80e087ec5f2ff7084093852c
CVE-2019-3888,io.undertow:undertow-core,com.networknt:metrics,networknt/light-4j,https://github.com/networknt/light-4j/commit/95a988d0dca3650e05505842f275bae3aade0e10
CVE-2019-3888,io.undertow:undertow-core,com.networknt:jdbc-manager,networknt/light-session-4j,https://github.com/networknt/light-session-4j/commit/20c2223eec888527a6c9e09b68c6c6cdd57499c4
CVE-2019-3888,io.undertow:undertow-core,org.actframework:act,actframework/actframework,https://github.com/actframework/actframework/commit/1ce7b7d0a23ef619ad23ac067f446d1822b355e1
CVE-2019-3888,io.undertow:undertow-core,org.restheart:restheart,SoftInstigate/restheart,https://github.com/SoftInstigate/restheart/commit/1494524379d64749874c7a8b5701efc486dc1b46
CVE-2019-3888,io.undertow:undertow-core,io.mangoo:mangooio-core,svenkubiak/mangooio,https://github.com/svenkubiak/mangooio/commit/712dd4242fa5b619922331470b32e25c8606e771
CVE-2019-3888,io.undertow:undertow-core,com.networknt:graphql-common,networknt/light-graphql-4j,https://github.com/networknt/light-graphql-4j/commit/7439727ec8a0545d674bdd884699d5b046a2483a
CVE-2019-3888,io.undertow:undertow-core,com.networknt:swagger-security,networknt/light-rest-4j,https://github.com/networknt/light-rest-4j/commit/7d53678b7323d622f202a3b4155b8d542c277b11
CVE-2019-3888,io.undertow:undertow-core,de.ruedigermoeller:kontraktor-http,RuedigerMoeller/kontraktor,https://github.com/RuedigerMoeller/kontraktor/commit/967b29319ccff78f2a5a6452eb3da463a0f6dd33
CVE-2019-3888,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/62be256827b5e22f7c66b1faf8f8193284614720
CVE-2019-3888,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/c6464e31c63a57cab041a300a1a80af8afea5e0a
CVE-2017-12626,org.apache.poi:poi,com.helger:ph-poi,phax/ph-poi,https://github.com/phax/ph-poi/commit/2811a2804ca98419f89f6b30c4cf41304673bd12
CVE-2017-12626,org.apache.poi:poi,com.jeesuite:jeesuite-common2,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/commit/18a07135a3e2e479c7bcd69587bbc8572ce21802
CVE-2017-12626,org.apache.poi:poi,org.obolibrary.robot:robot-core,ontodev/robot,https://github.com/ontodev/robot/commit/5c234a654a28e0c1a10548558dc4388dc2de04b9
CVE-2017-12626,org.apache.poi:poi,com.creditdatamw.labs:zerocell-core,creditdatamw/zerocell,https://github.com/creditdatamw/zerocell/commit/d57c3ea7d7de617f0feee0ae2d56f66446826d6b
CVE-2017-12626,org.apache.poi:poi,cn.afterturn:easypoi-base,jueyue/easypoi,https://github.com/jueyue/easypoi/commit/6421eb5d54c9bd2500e8fd9c3b693eaf17b38a54
CVE-2017-12626,org.apache.poi:poi,org.spdx:spdx-tools,spdx/tools,https://github.com/spdx/tools/commit/c2380e867e8d39a5d1e7019940858bf2c1c91dbb
CVE-2017-12626,org.apache.poi:poi,com.github.hazendaz:displaytag,hazendaz/displaytag,https://github.com/hazendaz/displaytag/commit/0a01fbc7725ff8d065c3a2d3e059975eff970277
CVE-2017-12626,org.apache.poi:poi,de.alpharogroup:file-worker,lightblueseas/file-worker,https://github.com/lightblueseas/file-worker/commit/2e0b2b009efef2b7ba4106faca77c0f4c9819d3b
CVE-2017-12626,org.apache.poi:poi,com.hoioy:diamond-common,hoioy/diamond,https://github.com/hoioy/diamond/commit/321aea3467d8f2d31442a461d78b1885eb05cee8
CVE-2017-12626,org.apache.poi:poi,net.sf.mpxj:mpxj,joniles/mpxj,https://github.com/joniles/mpxj/commit/498248ab72609ffcc29d77cb4f2f04a1023b3d0a
CVE-2017-12626,org.apache.poi:poi,com.github.mygreen:xlsmapper,mygreen/xlsmapper,https://github.com/mygreen/xlsmapper/commit/91bdaa6cdcd8bf57e6faa4bb8e617576ea4d74ca
CVE-2017-12626,org.apache.poi:poi,ch.astorm:jotlmsg,ctabin/jotlmsg,https://github.com/ctabin/jotlmsg/commit/7bd57545e49f2f03dc7241785819786c180159e7
CVE-2017-12626,org.apache.poi:poi,org.nutz:nutz-integration-json4excel,nutzam/nutzmore,https://github.com/nutzam/nutzmore/commit/b1e4de951c93363ff0fa8fa4f4e48f4ea3fd8780
CVE-2017-12626,org.apache.poi:poi,org.orienteer:orienteer-camel,OrienteerBAP/Orienteer,https://github.com/OrienteerBAP/Orienteer/commit/a9b0da3dc6f7e1e2bf3abd188be97eb40815f5e8
CVE-2017-12626,org.apache.poi:poi,nl.bstoi.poiparser:PoiParser,Hylke1982/PoiParser,https://github.com/Hylke1982/PoiParser/commit/6057c777d73bd81f23fc92e4bef4a19ab11d51d4
CVE-2017-12626,org.apache.poi:poi,de.viaboxx:dbimport,viaboxxsystems/agimatec-tools,https://github.com/viaboxxsystems/agimatec-tools/commit/b08edcf157771bf441afd2312e94cfce5de9589e
CVE-2017-12626,org.apache.poi:poi,com.helger:ph-poi,phax/ph-poi,https://github.com/phax/ph-poi/commit/2811a2804ca98419f89f6b30c4cf41304673bd12
CVE-2017-12626,org.apache.poi:poi,com.jeesuite:jeesuite-common2,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/commit/18a07135a3e2e479c7bcd69587bbc8572ce21802
CVE-2017-12626,org.apache.poi:poi,org.obolibrary.robot:robot-core,ontodev/robot,https://github.com/ontodev/robot/commit/5c234a654a28e0c1a10548558dc4388dc2de04b9
CVE-2017-12626,org.apache.poi:poi,com.creditdatamw.labs:zerocell-core,creditdatamw/zerocell,https://github.com/creditdatamw/zerocell/commit/d57c3ea7d7de617f0feee0ae2d56f66446826d6b
CVE-2017-12626,org.apache.poi:poi,cn.afterturn:easypoi-base,jueyue/easypoi,https://github.com/jueyue/easypoi/commit/6421eb5d54c9bd2500e8fd9c3b693eaf17b38a54
CVE-2017-12626,org.apache.poi:poi,org.spdx:spdx-tools,spdx/tools,https://github.com/spdx/tools/commit/c2380e867e8d39a5d1e7019940858bf2c1c91dbb
CVE-2017-12626,org.apache.poi:poi,com.github.hazendaz:displaytag,hazendaz/displaytag,https://github.com/hazendaz/displaytag/commit/0a01fbc7725ff8d065c3a2d3e059975eff970277
CVE-2017-12626,org.apache.poi:poi,de.alpharogroup:file-worker,lightblueseas/file-worker,https://github.com/lightblueseas/file-worker/commit/2e0b2b009efef2b7ba4106faca77c0f4c9819d3b
CVE-2017-12626,org.apache.poi:poi,com.hoioy:diamond-common,hoioy/diamond,https://github.com/hoioy/diamond/commit/321aea3467d8f2d31442a461d78b1885eb05cee8
CVE-2017-12626,org.apache.poi:poi,net.sf.mpxj:mpxj,joniles/mpxj,https://github.com/joniles/mpxj/commit/498248ab72609ffcc29d77cb4f2f04a1023b3d0a
CVE-2017-12626,org.apache.poi:poi,com.github.mygreen:xlsmapper,mygreen/xlsmapper,https://github.com/mygreen/xlsmapper/commit/91bdaa6cdcd8bf57e6faa4bb8e617576ea4d74ca
CVE-2017-12626,org.apache.poi:poi,ch.astorm:jotlmsg,ctabin/jotlmsg,https://github.com/ctabin/jotlmsg/commit/7bd57545e49f2f03dc7241785819786c180159e7
CVE-2017-12626,org.apache.poi:poi,org.nutz:nutz-integration-json4excel,nutzam/nutzmore,https://github.com/nutzam/nutzmore/commit/b1e4de951c93363ff0fa8fa4f4e48f4ea3fd8780
CVE-2017-12626,org.apache.poi:poi,org.orienteer:orienteer-camel,OrienteerBAP/Orienteer,https://github.com/OrienteerBAP/Orienteer/commit/a9b0da3dc6f7e1e2bf3abd188be97eb40815f5e8
CVE-2017-12626,org.apache.poi:poi,nl.bstoi.poiparser:PoiParser,Hylke1982/PoiParser,https://github.com/Hylke1982/PoiParser/commit/6057c777d73bd81f23fc92e4bef4a19ab11d51d4
CVE-2017-12626,org.apache.poi:poi,de.viaboxx:dbimport,viaboxxsystems/agimatec-tools,https://github.com/viaboxxsystems/agimatec-tools/commit/b08edcf157771bf441afd2312e94cfce5de9589e
CVE-2017-12626,org.apache.poi:poi,com.helger:ph-poi,phax/ph-poi,https://github.com/phax/ph-poi/commit/2811a2804ca98419f89f6b30c4cf41304673bd12
CVE-2017-12626,org.apache.poi:poi,com.jeesuite:jeesuite-common2,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/commit/18a07135a3e2e479c7bcd69587bbc8572ce21802
CVE-2017-12626,org.apache.poi:poi,org.obolibrary.robot:robot-core,ontodev/robot,https://github.com/ontodev/robot/commit/5c234a654a28e0c1a10548558dc4388dc2de04b9
CVE-2017-12626,org.apache.poi:poi,com.creditdatamw.labs:zerocell-core,creditdatamw/zerocell,https://github.com/creditdatamw/zerocell/commit/d57c3ea7d7de617f0feee0ae2d56f66446826d6b
CVE-2017-12626,org.apache.poi:poi,cn.afterturn:easypoi-base,jueyue/easypoi,https://github.com/jueyue/easypoi/commit/6421eb5d54c9bd2500e8fd9c3b693eaf17b38a54
CVE-2017-12626,org.apache.poi:poi,org.spdx:spdx-tools,spdx/tools,https://github.com/spdx/tools/commit/c2380e867e8d39a5d1e7019940858bf2c1c91dbb
CVE-2017-12626,org.apache.poi:poi,com.github.hazendaz:displaytag,hazendaz/displaytag,https://github.com/hazendaz/displaytag/commit/0a01fbc7725ff8d065c3a2d3e059975eff970277
CVE-2017-12626,org.apache.poi:poi,de.alpharogroup:file-worker,lightblueseas/file-worker,https://github.com/lightblueseas/file-worker/commit/2e0b2b009efef2b7ba4106faca77c0f4c9819d3b
CVE-2017-12626,org.apache.poi:poi,com.hoioy:diamond-common,hoioy/diamond,https://github.com/hoioy/diamond/commit/321aea3467d8f2d31442a461d78b1885eb05cee8
CVE-2017-12626,org.apache.poi:poi,net.sf.mpxj:mpxj,joniles/mpxj,https://github.com/joniles/mpxj/commit/498248ab72609ffcc29d77cb4f2f04a1023b3d0a
CVE-2017-12626,org.apache.poi:poi,com.github.mygreen:xlsmapper,mygreen/xlsmapper,https://github.com/mygreen/xlsmapper/commit/91bdaa6cdcd8bf57e6faa4bb8e617576ea4d74ca
CVE-2017-12626,org.apache.poi:poi,ch.astorm:jotlmsg,ctabin/jotlmsg,https://github.com/ctabin/jotlmsg/commit/7bd57545e49f2f03dc7241785819786c180159e7
CVE-2017-12626,org.apache.poi:poi,org.nutz:nutz-integration-json4excel,nutzam/nutzmore,https://github.com/nutzam/nutzmore/commit/b1e4de951c93363ff0fa8fa4f4e48f4ea3fd8780
CVE-2017-12626,org.apache.poi:poi,org.orienteer:orienteer-camel,OrienteerBAP/Orienteer,https://github.com/OrienteerBAP/Orienteer/commit/a9b0da3dc6f7e1e2bf3abd188be97eb40815f5e8
CVE-2017-12626,org.apache.poi:poi,nl.bstoi.poiparser:PoiParser,Hylke1982/PoiParser,https://github.com/Hylke1982/PoiParser/commit/6057c777d73bd81f23fc92e4bef4a19ab11d51d4
CVE-2017-12626,org.apache.poi:poi,de.viaboxx:dbimport,viaboxxsystems/agimatec-tools,https://github.com/viaboxxsystems/agimatec-tools/commit/b08edcf157771bf441afd2312e94cfce5de9589e
CVE-2017-12626,org.apache.poi:poi,com.helger:ph-poi,phax/ph-poi,https://github.com/phax/ph-poi/commit/2811a2804ca98419f89f6b30c4cf41304673bd12
CVE-2017-12626,org.apache.poi:poi,com.jeesuite:jeesuite-common2,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/commit/18a07135a3e2e479c7bcd69587bbc8572ce21802
CVE-2017-12626,org.apache.poi:poi,org.obolibrary.robot:robot-core,ontodev/robot,https://github.com/ontodev/robot/commit/5c234a654a28e0c1a10548558dc4388dc2de04b9
