CVE_ID,PATCH,G:A:V
CVE-2019-17572,https://github.com/apache/rocketmq/commit/f8f6fbe4aa7f5dee937e688322628c366b12a552,org.apache.rocketmq:rocketmq-broker:4.4.0
CVE-2016-2510,https://github.com/beanshell/beanshell/commit/1ccc66bb693d4e46a34a904db8eeff07808d2ced,org.apache-extras.beanshell:bsh:2.0b5
CVE-2016-4977,https://github.com/spring-projects/spring-security-oauth/commit/fff77d3fea477b566bcacfbfc95f85821a2bdc2d,org.springframework.security.oauth:spring-security-oauth2:2.0.7.RELEASE
CVE-2011-2481,https://github.com/apache/tomcat/commit/3ab7d6be13fd59b872bb5c3745ca06035e15ba3f;https://github.com/apache/tomcat/commit/3bbcc309a04bd2e2ef4730c86c501afd1947fbc1;https://github.com/apache/tomcat/commit/8fa210147ffd98e8971cba56395726cc4a893ad7,org.apache.tomcat:tomcat-catalina:7.0.8
CVE-2021-20218,https://github.com/fabric8io/kubernetes-client/commit/857c8733a89d59ca34c268a00aa4708bb2566a35,io.fabric8:kubernetes-client:4.13.0
CVE-2021-22569,https://github.com/protocolbuffers/protobuf/commit/9638a5e5315bf73f5e7148c16181676372321892,com.google.protobuf:protobuf-java:3.19.1
CVE-2017-3589,https://github.com/mysql/mysql-connector-j/commit/44631dd316e3da818fb593f02dbbe30308a937e0,mysql:mysql-connector-java:5.1.38
CVE-2011-5064,https://github.com/apache/tomcat55/commit/644dfdf96cf82fcd2a2046d93f2b5495f7e94584,tomcat:catalina:5.5.23
CVE-2020-7226,https://github.com/vt-middleware/cryptacular/commit/311baf12252abf21947afd07bf0a0291ec3ec796,org.cryptacular:cryptacular:1.2.3
CVE-2016-5001,https://github.com/apache/hadoop/commit/04b8a19f81ee616c315eec639642439b3a18ad9c,org.apache.hadoop:hadoop-hdfs:2.6.0
CVE-2016-0793,https://github.com/wildfly/wildfly/commit/dcfaf3acd6bcdd1ec322bad971ddbcc94261c58b,org.wildfly:wildfly-undertow:10.0.0.Final
CVE-2021-44878,https://github.com/pac4j/pac4j/commit/22b82ffd702a132d9f09da60362fc6264fc281ae,org.pac4j:pac4j-oidc:3.6.1
CVE-2014-4172,https://github.com/apereo/java-cas-client/commit/ae37092100c8eaec610dab6d83e5e05a8ee58814;https://github.com/apereo/java-cas-client/commit/9de2be91a2ed4f013900cb1facd4036c2f34d051,org.jasig.cas.client:cas-client-core:3.2.1
CVE-2019-12399,https://github.com/apache/kafka/commit/b85707c0fdb4c11448cdb5a1938e0488ddc91102,org.apache.kafka:connect-runtime:2.3.0
CVE-2011-4461,https://github.com/eclipse/jetty.project/commit/d0b81a185c260ffceecb9d7470b3ddfbfeda4c11,org.eclipse.jetty:jetty-servlets:7.5.4.v20111024
CVE-2018-1000822,https://github.com/codelibs/fess/commit/4e0d9f5faaf4ec75dbe89f5ff97ece0f03b097a8;https://github.com/codelibs/fess/commit/faa265b,org.codelibs.fess:fess:12.2.0
CVE-2021-29451,https://github.com/ManyDesigns/Portofino/commit/8c754a0ad234555e813dcbf9e57d637f9f23d8fb,com.manydesigns:portofino-core:5.2.0
CVE-2021-27906,https://github.com/apache/pdfbox/commit/c978d742bd64137aacdba346f3afe7238a5ac9a7,org.apache.pdfbox:pdfbox:2.0.12
CVE-2017-15695,https://github.com/apache/geode/commit/aa469239860778eb46e09dd7b390aee08f152480;https://github.com/apache/geode/commit/00be4f9774e1adf8e7ccc2664da8005fc30bb11d;https://github.com/apache/geode/commit/954ccb545d24a9c9a35cbd84023a4d7e07032de0;https://github.com/apache/geode/commit/6df14c8b1e3c644f9f810149e80bba0c2f073dab,org.apache.geode:geode-core:1.2.1
CVE-2013-4316,https://github.com/apache/struts/commit/58947c3f85ae641c1a476316a2888e53605948d1,org.apache.struts:struts2-core:2.1.8.1
CVE-2021-43797,https://github.com/netty/netty/commit/07aa6b5938a8b6ed7a6586e066400e2643897323,io.netty:netty-codec-http:4.1.63.Final
CVE-2020-17516,https://github.com/apache/cassandra/commit/c2f24d2c45aae6030310d881dcd96ba60d04a2ad,org.apache.cassandra:cassandra-all:3.11.3
CVE-2019-0201,https://github.com/emperwang/zookeeper/commit/af741cb319d4760cfab1cd3b560635adacd8deca,org.apache.zookeeper:zookeeper:3.4.6
CVE-2019-3802,https://github.com/spring-projects/spring-data-jpa/commit/33027dc370f418981f41f8fdfebc7173155960a1,org.springframework.data:spring-data-jpa:1.10.2.RELEASE
CVE-2016-1000339,https://github.com/bcgit/bc-java/commit/413b42f4d770456508585c830cfcde95f9b0e93b;https://github.com/bcgit/bc-java/commit/8a73f08931450c17c749af067b6a8185abdfd2c0,org.bouncycastle:bcprov-jdk15on:1.54
CVE-2011-0013,https://github.com/apache/tomcat/commit/c8a9a43183e061f09eb5cf7cd5443cecd8699462;https://github.com/apache/tomcat/commit/1930114c4122f2b6f45d6b92e7790288b17e2ad2,org.apache.tomcat:tomcat-catalina:7.0.0
CVE-2011-1498,https://github.com/apache/httpcomponents-client/commit/a572756592c969affd0ce87885724e74839176fb,org.apache.httpcomponents:httpclient:4.0.1
CVE-2020-10686,https://github.com/keycloak/keycloak/commit/5ddd605ee96b8551c7eb00b609a0b97939925b77,org.keycloak:keycloak-services:8.0.1
CVE-2018-9116,https://github.com/tomakehurst/wiremock/commit/4c6dfde82a5ee91c5f47bf353f5099d11692db39,com.github.tomakehurst:wiremock:2.6.0
CVE-2013-4390,https://github.com/apache/sling/commit/6256d8bcbe9e99855ae2c78b8c8d0e80fa9b10b8,org.apache.sling:org.apache.sling.auth.core:1.0.0
CVE-2020-1951,https://github.com/apache/tika/commit/750d7790c7d8ba766f2794fac79521d5870eadfb,org.apache.tika:tika-parsers:1.22
CVE-2021-21343,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9,com.thoughtworks.xstream:xstream:1.3.1
CVE-2013-5823,https://github.com/apache/santuario-java/commit/55a48497dfbf3fe63a81e67c13160b3f41ebb1f3;https://github.com/apache/santuario-java/commit/f9a61f2df9473237aa71308c28113540b4063d33,org.apache.santuario:xmlsec:1.5.8
CVE-2018-1000854,https://github.com/esigate/esigate/commit/30cad23a8f282600c9b045e1af09f6f8a65357b1;https://github.com/esigate/esigate/commit/8461193d2f358bcf1c3fabf82891a66786bfb540;https://github.com/esigate/esigate/commit/b866acb1ebc661dbe475330e27e0d69693de1971,org.esigate:esigate-core:4.4
CVE-2016-8749,https://github.com/apache/camel/commit/d4102512147eca2af21c3b6ed63a67d852f4e66;https://github.com/apache/camel/commit/7567488f844f01d72840f7ab6ca18114a11f20d;https://github.com/apache/camel/commit/57d01e2fc8923263df896e9810329ee5b7f9b69,org.apache.camel:camel-jackson:2.17.1
CVE-2014-3490,https://github.com/resteasy/Resteasy/commit/240da98bc6437a44b3b267cb6d0d8bac3691b2f7;https://github.com/ronsigal/Resteasy/commit/9b7d0f574cafdcf3bea5428f3145ab4908fc6d83,org.jboss.resteasy:resteasy-jaxb-provider:2.3.5.Final
CVE-2022-26336,https://github.com/apache/poi/commit/6622d9badb3590cb6190d912730548635a359dc0,org.apache.poi:poi-scratchpad:5.0.0
CVE-2012-6612,https://github.com/apache/lucene-solr/commit/bffc5624eff8e2790fb8d29b48385efd063c79d9,org.apache.solr:solr-core:4.0.0
CVE-2017-12629,https://github.com/apache/lucene-solr/commit/d8000beebfb13ba0b6e754f84c760e11592d8d1,org.apache.lucene:lucene-queryparser:5.5.0
CVE-2020-5230,https://github.com/opencast/opencast/commit/bbb473f34ab95497d6c432c81285efb0c739f317,org.opencastproject:opencast-common:7.5
CVE-2014-3709,https://github.com/keycloak/keycloak/commit/bb132e1aa0b3b3a123883d0b8d0b788337df956d,org.keycloak:keycloak-services:1.0.2.Final
CVE-2020-9486,https://github.com/apache/nifi/commit/148537d64a017b73160b0d49943183c18f883ab0,org.apache.nifi:nifi-framework-core:1.11.4
CVE-2017-5651,https://github.com/apache/tomcat/commit/9233d9d6a018be4415d4d7d6cb4fe01176adf1a8,org.apache.tomcat:tomcat-coyote:9.0.0.M21
CVE-2016-2141,https://github.com/belaban/JGroups/commit/c3ad22234ef84d06d04d908b3c94c0d11df8afd;https://github.com/belaban/JGroups/commit/eeaf5241cce464ef21a2dfc4938729ade9ebef36;https://github.com/belaban/JGroups/commit/38a882331035ffed205d15a5c92b471fd09659c;https://github.com/belaban/JGroups/commit/fba182c14075789e1d2c976d50d9018c671ad0b,org.jgroups:jgroups:3.2.13.Final
CVE-2017-9735,https://github.com/eclipse/jetty.project/commit/042f325f1cd6e7891d72c7e668f5947b5457dc02;https://github.com/eclipse/jetty.project/commit/f3751d70787fd8ab93932a51c60514c2eb37cb58;https://github.com/eclipse/jetty.project/commit/2baa1abe4b1c380a30deacca1ed367466a1a62ea,org.eclipse.jetty:jetty-util:9.2.14.v20151106
CVE-2018-1999020,https://github.com/opennetworkinglab/onos/commit/4b19da6ce94de4865a365c200d6e8169ffb2184f,org.onosproject:onos-core-common:1.13.1
CVE-2018-1000008,https://github.com/jenkinsci/pmd-plugin/commit/f88399a021c22e30cb8fbac5200471d69f1b6224,org.jvnet.hudson.plugins:pmd:1.0
CVE-2020-27178,https://github.com/apereo/cas/commit/1808d979b784500d4b4dd846003a0230f326b57d,org.apereo.cas:cas-server-support-otp-mfa:5.3.15.1
CVE-2014-0096,https://github.com/apache/tomcat/commit/f4863f73da45dab42595ea4f0f1c065ccb380239;https://github.com/apache/tomcat/commit/8d67386595064cf4f0563951dba313ec1bd7e4ea,org.apache.tomcat:tomcat-catalina:8.0.0-RC5
CVE-2020-13941,https://github.com/apache/lucene-solr/commit/49a3f0a11d41f7124b893a08dc9e67594c32e2ee,org.apache.solr:solr-core:7.4.0
CVE-2021-25122,https://github.com/apache/tomcat/commit/dd757c0a893e2e35f8bc1385d6967221ae8b9b9b,org.apache.tomcat:tomcat-coyote:10.0.0
CVE-2020-13940,https://github.com/apache/nifi/commit/7f0416ee8bdcee95e28409cc6fae9c1394c2a798,org.apache.nifi:nifi-framework-api:1.11.4
CVE-2018-11765,https://github.com/apache/hadoop/commit/94b0df839d36cf5d5e927b3642566c67d0689474,org.apache.hadoop:hadoop-common:3.0.0
CVE-2021-42575,https://github.com/OWASP/java-html-sanitizer/commit/be33ec6962fa3938ec028873e269632d5d8fa55a,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer:20191001.1
CVE-2019-12086,https://github.com/FasterXML/jackson-databind/commit/efc3c0d02f4743dbaa6d1b9c466772a2f13d966b,com.fasterxml.jackson.core:jackson-databind:2.8.11.3
CVE-2017-7525,https://github.com/FasterXML/jackson-databind/commit/ddfddfba6414adbecaff99684ef66eebd3a92e92;https://github.com/FasterXML/jackson-databind/commit/fd8dec2c7fab8b4b4bd60502a0f1d63ec23c24da,com.fasterxml.jackson.core:jackson-databind:2.7.3
CVE-2020-17523,https://github.com/apache/shiro/commit/ab1ea4a2006f6bd6a2b5f72740b7135662f8f160,org.apache.shiro:shiro-core:1.4.0
CVE-2018-11039,https://github.com/spring-projects/spring-framework/commit/323ccf99e575343f63d56e229c25c35c170b7ec1,org.springframework:spring-web:4.3.14.RELEASE
CVE-2013-2134,https://github.com/apache/struts/commit/01e6b251b4db78bfb7971033652e81d1af4cb3e;https://github.com/apache/struts/commit/8b4fc81daeea3834bcbf73de5f48d0021917aa3,org.apache.struts:struts2-core:2.1.8.1
CVE-2020-1954,https://github.com/apache/cxf/commit/8636c3760a97979f42e45080230a27b81df5d436,org.apache.cxf:cxf-rt-management:3.0.2
CVE-2017-4995,https://github.com/spring-projects/spring-security/commit/947d11f433b78294942cb5ea56e8aa5c3a0ca43;https://github.com/spring-projects/spring-security/commit/5dee8534cd1b92952d10cc56335b5d5856f48f3b,org.springframework.security:spring-security-core:4.2.2.RELEASE
CVE-2019-13237,https://github.com/alkacon/opencms-core/commit/13fc0b8c9a1d36b6541dd5a2debe15fb81de1f0f,org.opencms:opencms-core:10.5.1
CVE-2019-0207,https://github.com/apache/tapestry-5/commit/6dd7219fd4707467a36091e2f7f5f6460c619099,org.apache.tapestry:tapestry-ioc:5.3.1
CVE-2013-1768,https://github.com/apache/openjpa/commit/b8933dc24b84e7e7430ece56bd645d425dd89f24;https://github.com/apache/openjpa/commit/521fecd2d9b91c27e9f90d97e5f5479d17239eb8;https://github.com/apache/openjpa/commit/d3c68ad3bb9aa0e4e9abbfdec691abb06df642a5;https://github.com/apache/openjpa/commit/87a4452be08b4f97274d0ccfac585ae85841e470,org.apache.openjpa:openjpa-kernel:2.1.1
CVE-2017-7657,https://github.com/eclipse/jetty.project/commit/be8ff431a4b9b2e51c4c847512dfbc70166b8089,org.eclipse.jetty:jetty-http:9.3.20.v20170531
CVE-2020-8570,https://github.com/kubernetes-client/java/commit/f5de2e7ff3c9e158d42df10667f03306b2c26e2e,io.kubernetes:client-java:5.0.0
CVE-2011-4905,https://github.com/apache/activemq/commit/3a71f8e33d0309cb0ca5b5758a8f251da205e757,org.apache.activemq:activemq-core:5.4.2
CVE-2016-1000338,https://github.com/bcgit/bc-java/commit/b0c3ce99d43d73a096268831d0d120ffc89eac7f,org.bouncycastle:bcprov-jdk14:1.50
CVE-2016-6793,https://github.com/apache/wicket/commit/134686ef7185d3f96fec953136ab4847cd36b68,org.apache.wicket:wicket-util:1.5.2
CVE-2016-9177,https://github.com/perwendel/spark/commit/efcb46c710e3f56805b9257a63d1306882f4faf9,com.sparkjava:spark-core:2.3
CVE-2019-14838,https://github.com/wildfly/wildfly-core/commit/131fa6880ae1523fac9e96df54dc394b63b0eed3;https://github.com/wildfly/wildfly-core/commit/80e18b46f73f9d061d4150c66e6dc2fc1fd0bc41,org.wildfly.core:wildfly-host-controller:2.0.10.Final
CVE-2009-2901,https://github.com/apache/tomcat55/commit/0299cb724ea71f304d54adfcdb950f59b01fb421;https://github.com/apache/tomcat/commit/3e1010b1a2f648581fac3d68afbf18f2979f6bf6,org.apache.tomcat:catalina:6.0.18
CVE-2021-21290,https://github.com/netty/netty/commit/c735357bf29d07856ad171c6611a2e1a0e0000ec,io.netty:netty-handler:4.1.45.Final
CVE-2021-3642,https://github.com/wildfly-security/wildfly-elytron/commit/f512afc33807c8e7cf74ccb1a14532090906e793,org.wildfly.security:wildfly-elytron:1.1.0.Final
CVE-2014-3558,https://github.com/hibernate/hibernate-validator/commit/e8c42b689df8c6752d635d02c6518da3fece3870;https://github.com/hibernate/hibernate-validator/commit/2c95d4ea0ef20977be249e31a4a4f4f4f71c945d;https://github.com/hibernate/hibernate-validator/commit/c489416f699a46859c134796b3ccfea41ef3ce52;https://github.com/hibernate/hibernate-validator/commit/c9525ca544b1281e2b7c7347e86e87c86dc1dc6e;https://github.com/hibernate/hibernate-validator/commit/fd4eaed7fb930db6a5e4c03742b4b3adcfecc90e;https://github.com/hibernate/hibernate-validator/commit/f97c2021a03c825abdeca1692f5be51e77e76a8f;https://github.com/hibernate/hibernate-validator/commit/67fdff14831c035c25e098fe14bd86523d17f726;https://github.com/hibernate/hibernate-validator/commit/7e7131939a4361a7cad3e77ab89a8462132c561c,org.hibernate:hibernate-validator:5.0.1.Final
CVE-2021-42392,https://github.com/h2database/h2database/commit/4a2e677bfb6bfee59bff1ce1dfb6f28ce5109d8c,com.h2database:h2:1.4.200
CVE-2018-1271,https://github.com/spring-projects/spring-framework/commit/91b803a2310344d925e5d4b1709bbcea9037554;https://github.com/spring-projects/spring-framework/commit/695bf2961feffd35b5560ccc982a2189dcca611;https://github.com/spring-projects/spring-framework/commit/98ad23bef8e2e04143f8f5b201380543a8d8c0c;https://github.com/spring-projects/spring-framework/commit/f59ea610dfcf55cd0b42f6dd76a9b3dab0218aa;https://github.com/spring-projects/spring-framework/commit/0e28bee0f155b9bf240b4bafc4646e4810cb23f;https://github.com/spring-projects/spring-framework/commit/13356a7ee2240f740737c5c83bdccdacc30603a,org.springframework:spring-webmvc:5.0.4.RELEASE
CVE-2019-9658,https://github.com/checkstyle/checkstyle/commit/180b4fe37a2249d4489d584505f2b7b3ab162ec6;https://github.com/checkstyle/checkstyle/commit/f796c5053b6f275db9a3907fa24207d233974e29,com.puppycrawl.tools:checkstyle:8.12
CVE-2021-43795,https://github.com/line/armeria/commit/e2697a575e9df6692b423e02d731f293c1313284,com.linecorp.armeria:armeria:1.11.0
CVE-2017-5664,https://github.com/apache/tomcat80/commit/e070a31ec81b56377822e44883c64abb41f36a3b,org.apache.tomcat:tomcat-catalina:8.0.0-RC1
CVE-2018-12972,https://github.com/OpenTSDB/opentsdb/commit/a6a9ec4bc8a526951bc25bb19a145782bafaa8b0,net.opentsdb:opentsdb:2.3.0
CVE-2019-18394,https://github.com/igniterealtime/Openfire/commit/c2ccb38250910587498597955d0bbee8b58e46df,org.igniterealtime.openfire:xmppserver:4.2.0
CVE-2020-5411,https://github.com/spring-projects/spring-batch/commit/6d7d2927ddcd8c7ddd902fa1196b1e780c0d70ea,org.springframework.batch:spring-batch-core:4.0.0.RELEASE
CVE-2011-1088,https://github.com/apache/tomcat/commit/ece65c1a428094b1c6c17de3d7593f64e1bb1286;https://github.com/apache/tomcat/commit/f528992ec6cd7b62c9ced5b3a7dc4cda6bfd1a5e;https://github.com/apache/tomcat/commit/9c90bdc1ad942374b1bb6b147613497970b3c8e1;https://github.com/apache/tomcat/commit/3e5b045,org.apache.tomcat.embed:tomcat-embed-core:7.0.8
CVE-2013-2248,https://github.com/apache/struts/commit/3cfe34fefedcf0fdcfcb061c0aea34a715b7de63,org.apache.struts:struts2-core:2.1.8.1
CVE-2017-12616,https://github.com/apache/tomcat/commit/07dc0ea2745f0afab6415f22b16a29f1c6de5727,org.apache.tomcat:tomcat-catalina:7.0.27
CVE-2015-1836,https://github.com/apache/hbase/commit/f20fdb5;https://github.com/apache/hbase/commit/942e09b71eef5bd9fdb1c8711125c4bc1193bcdc,org.apache.hbase:hbase-client:1.0.0
CVE-2016-5007,https://github.com/spring-projects/spring-security/commit/e4c13e,org.springframework.security:spring-security-config:4.0.4.RELEASE
CVE-2016-6805,https://github.com/apache/ignite/commit/9c401b0dcfc6edb5cc83f6b35bc0d24db6f10347,org.apache.ignite:ignite-core:1.6.0
CVE-2021-21347,https://github.com/x-stream/xstream/commit/51abe602e09016c8e43e91325a15226022f4da46,com.thoughtworks.xstream:xstream:1.4.11.1
CVE-2016-9487,https://github.com/IDPF/epubcheck/commit/66e88e46b4f2cf44ee9607c05f2eccb6254c4101,org.idpf:epubcheck:4.0.1
CVE-2021-39147,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c,com.thoughtworks.xstream:xstream:1.4.11.1
CVE-2018-1259,https://github.com/spring-projects/spring-data-commons/commit/11d0aa1b396d8819a5a0d4933c5cfc72fe9ad102,org.springframework.data:spring-data-commons:1.13.7.RELEASE
CVE-2019-7722,https://github.com/pmd/pmd/commit/e295711343cc155cb64ea0ae29ce9d69201469b3,net.sourceforge.pmd:pmd-core:5.8.1
CVE-2022-24289,https://github.com/apache/cayenne/commit/e1b3de34de5b4230f03068e2a14fd4ce74e61b84,org.apache.cayenne:cayenne-server:4.2.M3
CVE-2017-7561,https://github.com/resteasy/Resteasy/commit/fd66aad3cb1e8553323a9af5b58f1ad5150dc5b9,org.jboss.resteasy:resteasy-jaxrs:3.0.19.Final
CVE-2017-5656,https://github.com/apache/cxf/commit/f25f4a51bf0de5255414c233f41ccc35cf00a073;https://github.com/apache/cxf/commit/66c2c5b9,org.apache.cxf:cxf-rt-ws-security:3.0.5
CVE-2016-8739,https://github.com/apache/cxf/commit/9deb2d17;https://github.com/apache/cxf/commit/8e4970d9,org.apache.cxf:cxf-rt-rs-extension-providers:3.1.7
CVE-2013-6430,https://github.com/spring-projects/spring-framework/commit/f5c9fe69a444607af667911bd4c5074b5b073e7b;https://github.com/spring-projects/spring-framework/commit/7a7df6637478607bef0277bf52a4e0a03e20a248,org.springframework:spring-web:3.0.5.RELEASE
CVE-2018-1317,https://github.com/apache/zeppelin/commit/85282615681e895d477417e9f9b80efdb221bf2c,org.apache.zeppelin:zeppelin-zengine:0.7.3
CVE-2016-1000341,https://github.com/bcgit/bc-java/commit/acaac81f96fec91ab45bd0412beaf9c3acd8defa,org.bouncycastle:bcprov-jdk15on:1.54
CVE-2016-8747,https://github.com/apache/tomcat85/commit/9601a937ff3b7ef5d04b2a0e950d0e44e1bb4cbd,org.apache.tomcat:tomcat-coyote:8.5.9
CVE-2021-44228,https://github.com/apache/logging-log4j2/commit/c77b3cb39312b83b053d23a2158b99ac7de44dd3,org.apache.logging.log4j:log4j-core:2.13.3
CVE-2017-9795,https://github.com/apache/geode/commit/30db126;https://github.com/apache/geode/commit/e6a5394;https://github.com/apache/geode/commit/02b9646618e074f80b3d5fed0e5b512a34b5897a,org.apache.geode:geode-core:1.2.1
CVE-2014-0107,https://github.com/apache/xalan-j/commit/cbfd906cc5a1f1566fa1a98400c82e56077fae0c,xalan:xalan:2.7.1
CVE-2022-23913,https://github.com/apache/activemq-artemis/commit/72a4fff1673477d78a85c415d48a2c74afda81fa,org.apache.activemq:artemis-core-client:2.19.1
CVE-2014-8114,https://github.com/uberfire/uberfire/commit/21ec50eb15,org.uberfire:uberfire-server:0.3.1.Final
CVE-2008-1947,https://github.com/apache/tomcat/commit/ab6a6c41ac972c845717c9d639f0335865afab4d,org.apache.tomcat:catalina:6.0.16
CVE-2020-5413,https://github.com/spring-projects/spring-integration/commit/23f3482e8f6d20ba8c59360fc59072c50b3a18cf,org.springframework.integration:spring-integration-core:4.3.6.RELEASE
CVE-2015-3192,https://github.com/spring-projects/spring-framework/commit/9c3580d04e84d25a90ef4c249baee1b4e02df15e;https://github.com/spring-projects/spring-framework/commit/5a711c05ec750f069235597173084c2ee796242,org.springframework:spring-web:4.1.6.RELEASE
CVE-2014-0228,https://github.com/apache/hive/commit/9ef3522f632a0abb5465eca849188776c1b4db13;https://github.com/apache/hive/commit/c3d7083b7605d1753946c4c4411e3a3241ea7ffe,org.apache.hive:hive-exec:0.10.0
CVE-2021-36090,https://github.com/apache/commons-compress/commit/80124dd9fe4b0a0b2e203ca19aacac8cd0afc96f,org.apache.commons:commons-compress:1.18
CVE-2019-10095,https://github.com/apache/zeppelin/commit/8a7e0b87144fba81a22055684441906ad1c327af,org.apache.zeppelin:zeppelin-zengine:0.9.0
