CVE_ID,CVSS,CWE,VUL_FUNs
CVE-2021-37714,5.0,CWE-248;CWE-835,org.jsoup.parser.HtmlTreeBuilder:reconstructFormattingElements()
CVE-2019-3888,5.0,CWE-532,io.undertow.server.HttpServerExchange:toString()
CVE-2021-44832,8.5,CWE-20,"org.apache.logging.log4j.core.net.JndiManager:lookup(java.lang.String);org.apache.logging.log4j.core.appender.db.jdbc.DataSourceConnectionSource:createConnectionSource(java.lang.String);org.apache.logging.log4j.core.appender.db.jdbc.DataSourceConnectionSource:<init>(java.lang.String,javax.sql.DataSource)"
CVE-2019-17569,5.8,CWE-444,"org.apache.tomcat.util.http.parser.TokenList:parseTokenList(java.io.Reader,java.util.Collection);org.apache.tomcat.util.http.parser.TokenList:parseTokenList(java.util.Enumeration,java.util.Collection);org.apache.coyote.http11.AbstractHttp11Processor:prepareRequest();org.apache.coyote.http11.AbstractHttp11Processor:prepareRequest()"
CVE-2020-9492,6.5,CWE-863,"org.apache.hadoop.hdfs.web.WebHdfsFileSystem:initialize(java.net.URI,org.apache.hadoop.conf.Configuration);org.apache.hadoop.hdfs.web.WebHdfsFileSystem$AbstractRunner:connect(java.net.URL)"
CVE-2017-12626,5.0,CWE-835,"org.apache.poi.hpsf.Section:getDictionary();org.apache.poi.hpsf.Section:remove(org.apache.poi.hpsf.Property[],int);org.apache.poi.hpsf.MutableSection:writeDictionary(java.io.OutputStream,java.util.Map,int);org.apache.poi.hpsf.Section:<init>(byte[],int);org.apache.poi.hpsf.Section:getOffset();org.apache.poi.hpsf.MutableSection:setDictionary(java.util.Map);org.apache.poi.hpsf.Section:equals(java.lang.Object);org.apache.poi.hpsf.MutableSection:setProperty(int,long,java.lang.Object);org.apache.poi.hpsf.MutableSection:<init>(org.apache.poi.hpsf.Section);org.apache.poi.hpsf.MutableSection:setProperty(int,java.lang.String);org.apache.poi.hpsf.MutableSection:setCodepage(int);org.apache.poi.hpsf.MutableSection:write(java.io.OutputStream);org.apache.poi.hpsf.Section:toString();org.apache.poi.hpsf.Section:getPIDString(long);org.apache.poi.hpsf.Section:getCodepage();org.apache.poi.hpsf.MutableSection:<init>()"
CVE-2021-25329,4.4,,"org.apache.catalina.startup.HostConfig:deployDescriptor(org.apache.catalina.util.ContextName,java.io.File);org.apache.catalina.startup.ExpandWar:expand(org.apache.catalina.Host,java.net.URL,java.lang.String);org.apache.catalina.startup.ExpandWar:validate(org.apache.catalina.Host,java.net.URL,java.lang.String);org.apache.catalina.session.FileStore:file(java.lang.String);org.apache.catalina.startup.ContextConfig:fixDocBase();org.apache.catalina.servlets.DefaultServlet:validateGlobalXsltFile(java.io.File)"
CVE-2020-36282,7.5,CWE-502,"com.rabbitmq.jms.client.message.RMQStreamMessage:<init>();com.rabbitmq.jms.client.RMQMessage:instantiateRmqMessage(java.lang.String,java.util.List);com.rabbitmq.jms.client.message.RMQStreamMessage:<init>(boolean);com.rabbitmq.jms.client.RMQMessage:instantiateRmqObjectMessageWithTrustedPackages(java.util.List);com.rabbitmq.jms.client.message.RMQStreamMessage:readBody(java.io.ObjectInput,java.io.ByteArrayInputStream)"
CVE-2017-15693,6.0,CWE-502,"org.apache.geode.cache.RegionAccessException:writeObject(java.io.ObjectOutputStream);org.apache.geode.internal.cache.CreateRegionProcessor$CreateRegionReplyMessage:toData(java.io.DataOutput);org.apache.geode.cache.RegionDistributionException:writeObject(java.io.ObjectOutputStream);org.apache.geode.internal.cache.EventStateHelper:toData(java.io.DataOutput,java.util.Map,boolean);org.apache.geode.admin.jmx.internal.ConfigurationParameterJmxImpl:readObject(java.io.ObjectInputStream);org.apache.geode.internal.InternalDataSerializer:basicReadObject(java.io.DataInput);org.apache.geode.internal.cache.DistTXState:precommit();org.apache.geode.internal.cache.DistTXStateOnCoordinator:putEntryOnRemote(org.apache.geode.internal.cache.EntryEventImpl,boolean,boolean,java.lang.Object,boolean,long,boolean);org.apache.geode.internal.cache.BucketAdvisor$SetFromMap:readObject(java.io.ObjectInputStream);org.apache.geode.admin.internal.ConfigurationParameterImpl:setInternalState(java.lang.String,java.lang.Object,java.lang.Class,boolean);org.apache.geode.internal.cache.DistTXStateOnCoordinator:putEntry(org.apache.geode.internal.cache.EntryEventImpl,boolean,boolean,java.lang.Object,boolean,long,boolean);org.apache.geode.distributed.internal.DistributionConfigImpl:<init>(org.apache.geode.distributed.internal.DistributionConfig);org.apache.geode.internal.cache.DistTXStateProxyImplOnCoordinator:getRealDeal(org.apache.geode.internal.cache.KeyInfo,org.apache.geode.internal.cache.LocalRegion);org.apache.geode.internal.cache.DistTXState:commit();org.apache.geode.admin.GemFireHealth$Health:readResolve();org.apache.geode.internal.cache.EventStateHelper:fromData(java.io.DataInput,boolean);org.apache.geode.internal.cache.CreateRegionProcessor$CreateRegionReplyMessage:fromData(java.io.DataInput);org.apache.geode.internal.cache.InitialImageOperation$RegionStateMessage:toData(java.io.DataOutput);org.apache.geode.internal.cache.DistTXState:setUpdatingTxStateDuringPreCommit(boolean);org.apache.geode.internal.admin.remote.ShutdownAllRequest$ShutDownAllReplyProcessor:getResults();org.apache.geode.internal.cache.InitialImageOperation$RegionStateMessage:fromData(java.io.DataInput)"
CVE-2014-0050,7.5,CWE-264,"org.apache.commons.fileupload.MultipartStream:<init>(java.io.InputStream,byte[],int,org.apache.commons.fileupload.MultipartStream$ProgressNotifier);org.apache.commons.fileupload.FileUploadBase$InvalidContentTypeException:<init>();org.apache.commons.fileupload.MultipartStream:<init>(java.io.InputStream,byte[],int,org.apache.commons.fileupload.MultipartStream$ProgressNotifier);org.apache.commons.fileupload.FileUploadBase$InvalidContentTypeException:<init>()"
CVE-2020-11996,5.0,,org.apache.coyote.http2.Http2UpgradeHandler:closeIdleStreams(int)
CVE-2018-1339,4.3,CWE-835,"org.apache.tika.parser.chm.accessor.ChmDirectoryListingSet:enumerateChmDirectoryListingList(org.apache.tika.parser.chm.accessor.ChmItsfHeader,org.apache.tika.parser.chm.accessor.ChmItspHeader)"
CVE-2017-12196,4.3,CWE-863,"io.undertow.security.impl.DigestAuthenticationMechanism:handleDigestHeader(io.undertow.server.HttpServerExchange,io.undertow.security.api.SecurityContext)"
CVE-2017-15696,5.0,CWE-200,"org.apache.geode.internal.DSFIDFactory:readConfigurationRequest(java.io.DataInput);org.apache.geode.management.internal.configuration.messages.ConfigurationResponse:<init>(java.util.Map);org.apache.geode.management.internal.configuration.handlers.ConfigurationRequestHandler:restarting(org.apache.geode.distributed.DistributedSystem,org.apache.geode.cache.GemFireCache,org.apache.geode.distributed.internal.ClusterConfigurationService);org.apache.geode.internal.cache.GemFireCacheImpl:requestSharedConfiguration();org.apache.geode.internal.DSFIDFactory:readSnappyCompressedCachedDeserializable(java.io.DataInput);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:isRequestForEntireConfiguration();org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:getDSFID();org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:toData(java.io.DataOutput);org.apache.geode.internal.DSFIDFactory:create(int,java.io.DataInput);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:<init>();org.apache.geode.management.internal.configuration.messages.ConfigurationResponse:<init>();org.apache.geode.management.internal.configuration.handlers.ConfigurationRequestHandler:init(org.apache.geode.distributed.internal.tcpserver.TcpServer);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:addGroups(java.lang.String);org.apache.geode.management.internal.configuration.handlers.ConfigurationRequestHandler:endResponse(java.lang.Object,long);org.apache.geode.internal.cache.GemFireCacheImpl:initialize();org.apache.geode.management.internal.configuration.handlers.ConfigurationRequestHandler:processRequest(java.lang.Object);org.apache.geode.internal.cache.ClusterConfigurationLoader:requestConfigurationFromLocators(org.apache.geode.distributed.internal.DistributionConfig,java.util.List);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:fromData(java.io.DataInput);org.apache.geode.distributed.internal.InternalLocator$PrimaryHandler:hasWaitedForHandlerInitialization();org.apache.geode.internal.cache.ClusterConfigurationLoader:applyClusterXmlConfiguration(org.apache.geode.cache.Cache,org.apache.geode.management.internal.configuration.messages.ConfigurationResponse,org.apache.geode.distributed.internal.DistributionConfig);org.apache.geode.distributed.internal.InternalLocator:installSharedConfigDistribution();org.apache.geode.distributed.internal.InternalLocator$PrimaryHandler:processRequest(java.lang.Object);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:setNumAttempts(int);org.apache.geode.management.internal.configuration.messages.ConfigurationResponse:setRequestedConfiguration(java.util.Map);org.apache.geode.management.internal.configuration.handlers.ConfigurationRequestHandler:endRequest(java.lang.Object,long);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:<init>(boolean);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:setGroups(java.util.Set);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:getGroups();org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:getNumAttempts();org.apache.geode.internal.cache.ClusterConfigurationLoader:deployJarsReceivedFromClusterConfiguration(org.apache.geode.cache.Cache,org.apache.geode.management.internal.configuration.messages.ConfigurationResponse);org.apache.geode.internal.cache.ClusterConfigurationLoader:getGroups(org.apache.geode.distributed.internal.DistributionConfig);org.apache.geode.management.internal.configuration.messages.ConfigurationResponse:setFailedToGetSharedConfig(boolean);org.apache.geode.internal.cache.GemFireCacheImpl:getSharedConfigLocatorConnectionStringList();org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:<init>(java.util.Set);org.apache.geode.management.internal.configuration.messages.ConfigurationResponse:failedToGetSharedConfig();org.apache.geode.management.internal.configuration.handlers.ConfigurationRequestHandler:<init>(org.apache.geode.distributed.internal.ClusterConfigurationService);org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:toString();org.apache.geode.management.internal.configuration.messages.ConfigurationRequest:getSerializationVersions()"
CVE-2020-25711,4.9,CWE-862,"org.infinispan.server.Server:serverStop(java.util.List);org.infinispan.server.tasks.admin.LoggingSetTask:execute(org.infinispan.manager.EmbeddedCacheManager,java.util.Map,java.util.EnumSet);org.infinispan.server.Server:getServerReport();org.infinispan.server.tasks.admin.LoggingRemoveTask:execute(org.infinispan.manager.EmbeddedCacheManager,java.util.Map,java.util.EnumSet);org.infinispan.server.Server:clusterStop()"
CVE-2016-1182,6.4,CWE-20,org.apache.struts.action.ActionServlet:init();org.apache.struts.action.ActionServlet:initOther()
CVE-2012-4386,6.8,CWE-352,org.apache.struts2.util.TokenHelper:validToken();org.apache.struts2.interceptor.TokenSessionStoreInterceptor:handleInvalidToken(com.opensymphony.xwork2.ActionInvocation);org.apache.struts2.util.TokenHelper:setToken(java.lang.String);org.apache.struts2.interceptor.TokenSessionStoreInterceptor:handleValidToken(com.opensymphony.xwork2.ActionInvocation);org.apache.struts2.interceptor.ExecuteAndWaitInterceptor:doIntercept(com.opensymphony.xwork2.ActionInvocation)
CVE-2013-4322,4.3,CWE-20,"org.apache.coyote.http11.filters.ChunkedInputFilter:recycle();org.apache.coyote.http11.Http11NioProcessor:<init>(int,org.apache.tomcat.util.net.NioEndpoint,int);org.apache.coyote.http11.Http11NioProtocol$Http11ConnectionHandler:createProcessor();org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler:createProcessor();org.apache.coyote.http11.filters.ChunkedInputFilter:<init>(int);org.apache.coyote.http11.Http11AprProtocol$Http11ConnectionHandler:createProcessor();org.apache.coyote.http11.Http11Processor:<init>(int,org.apache.tomcat.util.net.JIoEndpoint,int);org.apache.coyote.http11.filters.ChunkedInputFilter:parseChunkHeader();org.apache.coyote.http11.filters.ChunkedInputFilter:parseHeader();org.apache.coyote.http11.Http11AprProcessor:<init>(int,org.apache.tomcat.util.net.AprEndpoint,int);org.apache.coyote.http11.AbstractHttp11Processor:initializeFilters(int)"
CVE-2017-15713,4.0,CWE-200,"org.apache.hadoop.conf.Configuration:loadResources(java.util.Properties,java.util.ArrayList,boolean);org.apache.hadoop.conf.Configuration$Resource:<init>(java.lang.Object,java.lang.String);org.apache.hadoop.conf.Configuration:substituteVars(java.lang.String);org.apache.hadoop.conf.Configuration:<init>(org.apache.hadoop.conf.Configuration);org.apache.hadoop.conf.Configuration:loadResource(java.util.Properties,org.apache.hadoop.conf.Configuration$Resource,boolean);org.apache.hadoop.conf.Configuration:addResourceObject(org.apache.hadoop.conf.Configuration$Resource)"
CVE-2019-17572,5.0,CWE-22,"org.apache.rocketmq.broker.processor.AbstractSendMessageProcessor:msgCheck(io.netty.channel.ChannelHandlerContext,org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader,org.apache.rocketmq.remoting.protocol.RemotingCommand);org.apache.rocketmq.broker.topic.TopicConfigManager:isTopicCanSendMessage(java.lang.String);org.apache.rocketmq.broker.processor.AdminBrokerProcessor:updateAndCreateTopic(io.netty.channel.ChannelHandlerContext,org.apache.rocketmq.remoting.protocol.RemotingCommand)"
CVE-2016-2510,6.8,CWE-19,"bsh.XThis$Handler:invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[]);bsh.XThis:getInterface(java.lang.Class);bsh.XThis:<init>(bsh.NameSpace,bsh.Interpreter);bsh.XThis:getInterface(java.lang.Class[]);bsh.XThis$Handler:invokeImpl(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])"
CVE-2016-4977,6.5,CWE-19,"org.springframework.security.oauth2.provider.endpoint.SpelView:render(java.util.Map,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse);org.springframework.security.oauth2.provider.endpoint.SpelView:<init>(java.lang.String)"
CVE-2011-2481,4.6,,"org.apache.catalina.startup.ContextConfig:createWebXmlDigester(boolean,boolean);org.apache.catalina.startup.ContextConfig:init();org.apache.catalina.startup.ContextConfig:configureStart();org.apache.catalina.startup.TldConfig:createTldDigester(boolean,boolean)"
CVE-2021-20218,5.8,CWE-22,"io.fabric8.kubernetes.client.dsl.internal.core.v1.PodOperationsImpl:copyDir(java.lang.String,java.io.File)"
CVE-2021-22569,4.3,,"com.google.protobuf.UnknownFieldSet$Builder:hasField(int);com.google.protobuf.UnknownFieldSet$Builder:mergeLengthDelimitedField(int,com.google.protobuf.ByteString);com.google.protobuf.UnknownFieldSet$Field:toByteString(int);com.google.protobuf.UnknownFieldSet$Builder:create();com.google.protobuf.UnknownFieldSet:toByteArray();com.google.protobuf.UnknownFieldSet:<init>();com.google.protobuf.UnknownFieldSet:parseFrom(byte[]);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(java.io.InputStream);com.google.protobuf.UnknownFieldSet:hashCode();com.google.protobuf.UnknownFieldSet$Builder:getFieldBuilder(int);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(com.google.protobuf.CodedInputStream);com.google.protobuf.UnknownFieldSet$Builder:clearField(int);com.google.protobuf.UnknownFieldSet:writeDelimitedTo(java.io.OutputStream);com.google.protobuf.UnknownFieldSet:parseFrom(com.google.protobuf.CodedInputStream);com.google.protobuf.UnknownFieldSet$Field:newBuilder(com.google.protobuf.UnknownFieldSet$Field);com.google.protobuf.UnknownFieldSet$Builder:mergeField(int,com.google.protobuf.UnknownFieldSet$Field);com.google.protobuf.UnknownFieldSet:writeTo(java.io.OutputStream);com.google.protobuf.UnknownFieldSet:getSerializedSizeAsMessageSet();com.google.protobuf.UnknownFieldSet$Field:equals(java.lang.Object);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(byte[],int,int);com.google.protobuf.UnknownFieldSet:writeTo(com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(com.google.protobuf.ByteString);com.google.protobuf.UnknownFieldSet:writeTo(com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet$Builder:mergeDelimitedFrom(java.io.InputStream);com.google.protobuf.UnknownFieldSet:writeAsMessageSetTo(com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet$Builder:build();com.google.protobuf.UnknownFieldSet$Builder:asMap();com.google.protobuf.UnknownFieldSet$Field:getSerializedSizeAsMessageSetExtension(int);com.google.protobuf.UnknownFieldSet:asMap();com.google.protobuf.UnknownFieldSet:<init>(java.util.Map,java.util.Map);com.google.protobuf.UnknownFieldSet:writeAsMessageSetTo(com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet$Builder:addField(int,com.google.protobuf.UnknownFieldSet$Field);com.google.protobuf.UnknownFieldSet:getSerializedSize();com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(byte[]);com.google.protobuf.UnknownFieldSet:equals(java.lang.Object);com.google.protobuf.UnknownFieldSet$Field:writeTo(int,com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet$Field:writeAsMessageSetExtensionTo(int,com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet:parseFrom(java.io.InputStream);com.google.protobuf.UnknownFieldSet:parseFrom(com.google.protobuf.ByteString);com.google.protobuf.UnknownFieldSet$Field:writeAsMessageSetExtensionTo(int,com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet$Field:getSerializedSize(int);com.google.protobuf.UnknownFieldSet$Builder:mergeFieldFrom(int,com.google.protobuf.CodedInputStream);com.google.protobuf.UnknownFieldSet$Builder:clone();com.google.protobuf.UnknownFieldSet:getField(int);com.google.protobuf.UnknownFieldSet:toByteString();com.google.protobuf.UnknownFieldSet$Builder:reinitialize();com.google.protobuf.UnknownFieldSet:hasField(int);com.google.protobuf.UnknownFieldSet$Builder:mergeVarintField(int,int);com.google.protobuf.UnknownFieldSet$Builder:clear();com.google.protobuf.UnknownFieldSet$Field:writeTo(int,com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet:newBuilder(com.google.protobuf.UnknownFieldSet);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(com.google.protobuf.UnknownFieldSet)"
CVE-2017-3589,2.1,,"com.mysql.jdbc.ConnectionImpl:prepareStatement(java.lang.String,int,int);com.mysql.jdbc.ConnectionImpl:decachePreparedStatement(com.mysql.jdbc.ServerPreparedStatement);com.mysql.jdbc.ConnectionImpl:recachePreparedStatement(com.mysql.jdbc.ServerPreparedStatement)"
CVE-2011-5064,4.3,CWE-310,"org.apache.catalina.authenticator.DigestAuthenticator:authenticate(org.apache.catalina.connector.Request,org.apache.catalina.connector.Response,org.apache.catalina.deploy.LoginConfig);org.apache.catalina.realm.RealmBase:authenticate(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String);org.apache.catalina.authenticator.DigestAuthenticator:findPrincipal(org.apache.catalina.connector.Request,java.lang.String,org.apache.catalina.Realm);org.apache.catalina.authenticator.DigestAuthenticator:parseUsername(java.lang.String);org.apache.catalina.authenticator.DigestAuthenticator:generateNOnce(org.apache.catalina.connector.Request);org.apache.catalina.authenticator.DigestAuthenticator:setAuthenticateHeader(org.apache.catalina.connector.Request,org.apache.catalina.connector.Response,org.apache.catalina.deploy.LoginConfig,java.lang.String)"
CVE-2020-7226,5.0,CWE-770,"org.cryptacular.bean.AbstractBlockCipherBean:process(org.cryptacular.CiphertextHeader,boolean,byte[]);org.cryptacular.util.CipherUtil:encrypt(org.bouncycastle.crypto.BlockCipher,javax.crypto.SecretKey,org.cryptacular.generator.Nonce,byte[]);org.cryptacular.CiphertextHeader:<init>(byte[],java.lang.String);org.cryptacular.util.CipherUtil:encrypt(org.bouncycastle.crypto.modes.AEADBlockCipher,javax.crypto.SecretKey,org.cryptacular.generator.Nonce,byte[]);org.cryptacular.util.CipherUtil:decrypt(org.bouncycastle.crypto.BlockCipher,javax.crypto.SecretKey,java.io.InputStream,java.io.OutputStream);org.cryptacular.bean.AbstractCipherBean:encrypt(byte[]);org.cryptacular.bean.AbstractCipherBean:decrypt(java.io.InputStream,java.io.OutputStream);org.cryptacular.bean.AbstractCipherBean:decrypt(byte[]);org.cryptacular.CiphertextHeader:decode(byte[]);org.cryptacular.bean.AbstractBlockCipherBean:process(org.cryptacular.CiphertextHeader,boolean,java.io.InputStream,java.io.OutputStream);org.cryptacular.util.CipherUtil:decrypt(org.bouncycastle.crypto.modes.AEADBlockCipher,javax.crypto.SecretKey,byte[]);org.cryptacular.util.CipherUtil:decrypt(org.bouncycastle.crypto.modes.AEADBlockCipher,javax.crypto.SecretKey,java.io.InputStream,java.io.OutputStream);org.cryptacular.util.CipherUtil:encrypt(org.bouncycastle.crypto.BlockCipher,javax.crypto.SecretKey,org.cryptacular.generator.Nonce,java.io.InputStream,java.io.OutputStream);org.cryptacular.util.CipherUtil:encrypt(org.bouncycastle.crypto.modes.AEADBlockCipher,javax.crypto.SecretKey,org.cryptacular.generator.Nonce,java.io.InputStream,java.io.OutputStream);org.cryptacular.CiphertextHeader:decode(java.io.InputStream);org.cryptacular.bean.AbstractCipherBean:encrypt(java.io.InputStream,java.io.OutputStream);org.cryptacular.util.CipherUtil:decrypt(org.bouncycastle.crypto.BlockCipher,javax.crypto.SecretKey,byte[])"
